RECNUM	CODIGO_FORNEC	NRO_OBRIG	SERIE_OBRIG	CODIGO_MOEDA	DT_EMISSAO	DT_RECEB	DT_VCTO	DT_ULT_PGTO	VL_TOTAL	VL_PGTO	VL_JUROS	VL_DCTO	VL_DESP	CODIGO_GROBRIG	SUBSTITUIDA	GERA_MV_CTB	NRO_NFE	DT_REG	CODIGO_USUARIOD	ACEITE	DT_ACEITE	CODIGO_USUARIOA	INTEGRA_CTB	OBSERVACAO_1	OBSERVACAO_2	FLAG_SUBSTITUI	VALOR_SUBSTITUI	VALOR_SUBST_AUX	CODIGO_BANCO	NRO_LOTE	NRO_BANCO	CODIGO_BARRAS	DT_EFETIV_PGTO	DT_VCTO_AUX	VL_DCTO_BANCO	VL_ACRESC_BANCO	CONTACTB	CENTRO_CUSTO	FLAG_IMPORTA	SAFRA	NRO_NOTA_ORIG	SERIE_NOTA_ORIG	NRO_PAGAMENTO	FLAG_BAIXA	VL_BAIXA	VL_JUROS_BAIXA	VL_DCTO_BAIXA	CONTACTB_MIOLO	BANCO_OBRIG	DT_RECEB_BOLET	CONTA_ORCAMENT	STATUS	CODIGO_USUARIOL	CODIGO_USUARIOB	DT_LIBERACAO	DT_BLOQUEIO	CODIGO_PERFILCC	LOTE	CODIGO_DESPVAR	FORNEC_DARF	OBRIG_DARF	SERIE_DARF	CODIGO_TIPOPAG	CODIGO_FORMAPAG	CODIGO_REPRES	VL_MULTA	FLAG_CH_DEV	VL_MULTA_BAIXA	GUID
959	72	327096,0	1  	1	18/04/2018	04/07/2018	16/05/2018	14/06/2018	1966,27	1966,27	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
960	72	327097,0	1  	1	18/04/2018	04/07/2018	16/05/2018	14/06/2018	1505,38	1505,38	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
961	72	327101,0	1  	1	18/04/2018	04/07/2018	16/05/2018	14/06/2018	1284,07	1284,07	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
962	72	327099,0	1  	1	18/04/2018	04/07/2018	16/05/2018	14/06/2018	1927,39	1927,39	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
963	98	3572,0	1  	1	15/06/2018	15/06/2018	15/06/2018	19/06/2018	1311,81	1311,81	200,95	0,0	0,0	159	N	 	0,0	04/07/2018	8	N		8	N	PROGER MATIAS BARBOSA		 	0,0	0,0	0	0				15/06/2018	0,0	0,0	999999	0	Z	          	0	   	0,0	 	0,0	0,0	0,0	0	2		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1931	29	4681,0	1E 	1	07/08/2018	17/08/2018	04/09/2018	04/09/2018	265,0	265,0	0,0	0,0	0,0	107	N	 	4681,0	17/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1932	21	20927,0	1E 	1	08/08/2018	17/08/2018	05/09/2018	05/09/2018	147,56	147,56	0,0	0,0	0,0	107	N	 	20927,0	17/08/2018	8	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1933	14	30788,0	1E 	1	07/08/2018	17/08/2018	04/09/2018	04/09/2018	701,75	701,75	0,0	0,0	0,0	108	N	 	30788,0	17/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1923	200	2018345,0	1E 	1	08/08/2018	17/08/2018	20/08/2018	21/08/2018	153,0	153,0	0,0	0,0	0,0	185	N	 	2018345,0	17/08/2018	7	N		8	S	DEPOSITO                                                                                                                                                                                                                                                  		 	0,0	0,0	0	0					0,0	0,0	100	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1924	210	201827209,0	1E 	1	13/08/2018	17/08/2018	17/08/2018	17/08/2018	150,0	150,0	0,0	0,0	0,0	185	N	 	201827209,0	17/08/2018	7	N		7	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1925	219	16193440,0	1E 	1	14/08/2018	17/08/2018	20/08/2018	22/08/2018	520,0	520,0	0,0	0,0	0,0	107	N	 	16193440,0	17/08/2018	7	N		0	S	DEPOSITO ITAU                                                                                                                                                                                                                                             		 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1926	44	182182,0	82 	1	17/08/2018	17/08/2018	17/08/2018	17/08/2018	1821,82	1821,82	0,0	0,0	0,0	121	N	 	0,0	17/08/2018	8	S	17/08/2018	8	S	FERIAS: 20 DE AGOSTO DE 2018  A 03 DE SETEMBRO DE 2018		 	0,0	0,0	0	0					0,0	0,0	0	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1934	14	30788,0	2E 	1	07/08/2018	17/08/2018	18/09/2018	18/09/2018	637,0	637,0	0,0	0,0	0,0	108	N	 	30788,0	17/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1935	179	81746,0	1E 	1	08/08/2018	17/08/2018	06/09/2018	06/09/2018	129,31	129,31	0,0	0,0	0,0	123	S	 	81746,0	17/08/2018	7	N		0	S	Obrigação substituída pela(s) obrigação(ões) 53794/1		0	129,31	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1936	220	3382,0	1E 	1	16/08/2018	17/08/2018	13/09/2018	13/09/2018	120,0	120,0	0,0	0,0	0,0	107	N	 	3382,0	17/08/2018	8	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
